Date,Price
2018-11-19,616.3
2018-11-20,612.65
2018-11-21,626.85
2018-11-22,614.55
2018-11-26,631.05
2018-11-27,625.25
2018-11-28,627.95
2018-11-29,631.4
2018-11-30,625.75
2018-12-3,624.8
2018-12-4,623.25
2018-12-5,614.95
2018-12-6,600.05
2018-12-7,603.95
2018-12-10,590.3
2018-12-11,604.25
2018-12-12,619.95
2018-12-13,619.1
2018-12-14,620.25
2018-12-17,617.15
2018-12-18,619.4
2018-12-19,641.65
2018-12-20,632.95
2018-12-21,620.85
2018-12-24,615
2018-12-26,619.5
2018-12-27,617.55
2018-12-28,625.05
2018-12-31,619.9
2019-1-1,627.3
2019-1-2,620.05
2019-1-3,607.95
2019-1-4,619.6
2019-1-7,637.45
2019-1-8,650.9
2019-1-9,670.1
2019-1-10,663.25
2019-1-11,666.5
2019-1-14,659.2
2019-1-15,660.6
2019-1-16,664
2019-1-17,676.65
2019-1-18,664.6
2019-1-21,660.3
2019-1-22,661.6
2019-1-23,661.6
2019-1-24,663.65
2019-1-25,669.75
2019-1-28,656.3
2019-1-29,660.75
2019-1-30,690.95
2019-1-31,722.7
2019-2-1,717.25
2019-2-4,720.5
2019-2-5,729.5
2019-2-6,725.75
2019-2-7,730.15
2019-2-8,719.4
2019-2-11,710.85
2019-2-12,705.6
2019-2-13,697.5
2019-2-14,695
2019-2-15,686.6
2019-2-18,693.3
2019-2-19,693.05
2019-2-20,700.35
2019-2-21,697.2
2019-2-22,702.05
2019-2-25,703.7
2019-2-26,710.15
2019-2-27,718.2
2019-2-28,709.55
2019-3-1,702.4
2019-3-5,732.05
2019-3-6,720.6
2019-3-7,733.75
2019-3-8,733.4
2019-3-11,734.5
2019-3-12,742.55
2019-3-13,738
2019-3-14,740.6
2019-3-15,735.1
2019-3-18,751.6
2019-3-19,760.9
2019-3-20,755.75
2019-3-22,757.05
2019-3-25,745.7
2019-3-26,757.1
2019-3-27,759.3
2019-3-28,780.7
2019-3-29,777.25
2019-4-1,765.6
2019-4-2,767.4
2019-4-3,761.5
2019-4-4,762.15
2019-4-5,762.2
2019-4-8,754.6
2019-4-9,763.4
2019-4-10,760.85
2019-4-11,752.3
2019-4-12,764.35
2019-4-15,762.85
2019-4-16,771.1
2019-4-18,771.2
2019-4-22,755.5
2019-4-23,753.25
2019-4-24,752.85
2019-4-25,740.9
2019-4-26,759.9
2019-4-30,766.85
2019-5-2,752.35
2019-5-3,757.3
2019-5-6,747.45
2019-5-7,741.85
2019-5-8,735.5
2019-5-9,731
2019-5-10,735.05
2019-5-13,732.1
2019-5-14,731.35
2019-5-15,721.95
2019-5-16,731.85
2019-5-17,748.95
2019-5-20,782.4
2019-5-21,772.95
2019-5-22,779.15
2019-5-23,776.4
2019-5-24,793.2
2019-5-27,813.9
2019-5-28,808.4
2019-5-29,804.7
2019-5-30,807.55
2019-5-31,808.3
2019-6-3,812.65
2019-6-4,822.8
2019-6-6,807.7
2019-6-7,804
2019-6-10,814.15
2019-6-11,814.8
2019-6-12,813.55
2019-6-13,820.15
2019-6-14,801.2
2019-6-17,777.7
2019-6-18,775.75
2019-6-19,770.7
2019-6-20,771.4
2019-6-21,771.05
2019-6-24,762.85
2019-6-25,781.65
2019-6-26,788.6
2019-6-27,800.45
2019-6-28,808.55
2019-7-1,810.45
2019-7-2,802.6
2019-7-3,806.2
2019-7-4,808.85
2019-7-5,806.1
2019-7-8,782.9
2019-7-9,786.2
2019-7-10,769.25
2019-7-11,766.4
2019-7-12,755.8
2019-7-15,749.75
2019-7-16,761.05
2019-7-17,752.6
2019-7-18,740.4
2019-7-19,729.25
2019-7-22,727.45
2019-7-23,728
2019-7-24,712.3
2019-7-25,723.15
2019-7-26,729.85
2019-7-29,720.25
2019-7-30,707.6
2019-7-31,674.1
2019-8-1,669.3
2019-8-2,673.85
2019-8-5,662.45
2019-8-6,679
2019-8-7,659.95
2019-8-8,660.1
2019-8-9,660.8
2019-8-13,649.45
2019-8-14,663.2
2019-8-16,675.65
2019-8-19,685
2019-8-20,672.35
2019-8-21,664.7
2019-8-22,661.15
2019-8-23,663.9
2019-8-26,683.7
2019-8-27,682.95
2019-8-28,678.2
2019-8-29,661.15
2019-8-30,663.9
2019-9-3,645.7
2019-9-4,647.3
2019-9-5,649.6
2019-9-6,671.1
2019-9-9,671.55
2019-9-11,681.7
2019-9-12,662.9
2019-9-13,674.25
2019-9-16,670.9
2019-9-17,640.45
2019-9-18,648.4
2019-9-19,638.2
2019-9-20,680.35
2019-9-23,725.5
2019-9-24,704.4
2019-9-25,694.95
2019-9-26,699.9
2019-9-27,700.6
2019-9-30,685
2019-10-1,679.15
2019-10-3,668.4
2019-10-4,656.4
2019-10-7,673.45
2019-10-9,686.3
2019-10-10,672.95
2019-10-11,672.7
2019-10-14,683.5
2019-10-15,690.05
2019-10-16,693.4
2019-10-17,710.3
2019-10-18,709.55
2019-10-22,712.75
2019-10-23,714.85
2019-10-24,707.7
2019-10-25,708.6
2019-10-27,710.1
2019-10-29,738.45
2019-10-30,747.4
2019-10-31,736.35
2019-11-1,748.3
2019-11-4,742.6
2019-11-5,738.05
2019-11-6,747.25
2019-11-7,734.75
2019-11-8,725.5
2019-11-11,733.7
2019-11-13,711.2
2019-11-14,715.9
2019-11-15,716.9
2019-11-18,722.95
