Date,Price
2018-11-19,362.4
2018-11-20,357.9
2018-11-21,356.75
2018-11-22,352.05
2018-11-26,356.35
2018-11-27,354.65
2018-11-28,359
2018-11-29,362.2
2018-11-30,355.15
2018-12-3,355.5
2018-12-4,357.95
2018-12-5,351.4
2018-12-6,347.65
2018-12-7,352.2
2018-12-10,346.35
2018-12-11,342.8
2018-12-12,349.95
2018-12-13,349.55
2018-12-14,351.9
2018-12-17,358.45
2018-12-18,362.25
2018-12-19,366.5
2018-12-20,362.15
2018-12-21,354.2
2018-12-24,352.75
2018-12-26,355.85
2018-12-27,355.65
2018-12-28,360.75
2018-12-31,360.15
2019-1-1,363.75
2019-1-2,364.6
2019-1-3,363.25
2019-1-4,365.2
2019-1-7,367.7
2019-1-8,380.15
2019-1-9,382.25
2019-1-10,379.5
2019-1-11,378.55
2019-1-14,373.35
2019-1-15,372.75
2019-1-16,375.3
2019-1-17,374.6
2019-1-18,372
2019-1-21,371.7
2019-1-22,369.05
2019-1-23,367.4
2019-1-24,364.8
2019-1-25,357.2
2019-1-28,343.55
2019-1-29,346.85
2019-1-30,365.9
2019-1-31,364.45
2019-2-1,354.65
2019-2-4,354.55
2019-2-5,352.65
2019-2-6,359.3
2019-2-7,358.65
2019-2-8,355.1
2019-2-11,350.05
2019-2-12,344.3
2019-2-13,339.75
2019-2-14,343.95
2019-2-15,342.15
2019-2-18,338.75
2019-2-19,343.25
2019-2-20,345.2
2019-2-21,351.3
2019-2-22,352.05
2019-2-25,355.6
2019-2-26,348.2
2019-2-27,345.55
2019-2-28,350.15
2019-3-1,354.25
2019-3-5,363.25
2019-3-6,371.95
2019-3-7,370.8
2019-3-8,370.6
2019-3-11,375.85
2019-3-12,388.2
2019-3-13,391.9
2019-3-14,387.9
2019-3-15,395.3
2019-3-18,398.05
2019-3-19,398.4
2019-3-20,392.9
2019-3-22,391.8
2019-3-25,383.5
2019-3-26,394.1
2019-3-27,393.2
2019-3-28,400.55
2019-3-29,400.5
2019-4-1,398.25
2019-4-2,397.15
2019-4-3,392.1
2019-4-4,388.75
2019-4-5,390.55
2019-4-8,387.1
2019-4-9,397.15
2019-4-10,394.2
2019-4-11,390.05
2019-4-12,394.6
2019-4-15,392.75
2019-4-16,407
2019-4-18,404.4
2019-4-22,394.5
2019-4-23,396.5
2019-4-24,401.1
2019-4-25,395.4
2019-4-26,407.2
2019-4-30,407.5
2019-5-2,395.55
2019-5-3,401.8
2019-5-6,401.3
2019-5-7,386.5
2019-5-8,382.2
2019-5-9,381.4
2019-5-10,385.1
2019-5-13,376.3
2019-5-14,380.4
2019-5-15,377.05
2019-5-16,382.5
2019-5-17,389.7
2019-5-20,407.7
2019-5-21,400.15
2019-5-22,405.35
2019-5-23,410.85
2019-5-24,431.75
2019-5-27,435.5
2019-5-28,434.3
2019-5-29,423.3
2019-5-30,426.2
2019-5-31,423.7
2019-6-3,422.9
2019-6-4,419.1
2019-6-6,411.55
2019-6-7,416.6
2019-6-10,416.1
2019-6-11,421.35
2019-6-12,418
2019-6-13,419.6
2019-6-14,417.75
2019-6-17,414.2
2019-6-18,422.15
2019-6-19,419.8
2019-6-20,433.4
2019-6-21,430.8
2019-6-24,429.45
2019-6-25,433.65
2019-6-26,438.65
2019-6-27,440.95
2019-6-28,437.1
2019-7-1,439
2019-7-2,436.75
2019-7-3,435.95
2019-7-4,436.2
2019-7-5,436.35
2019-7-8,425.9
2019-7-9,428.5
2019-7-10,430.9
2019-7-11,426.55
2019-7-12,427.05
2019-7-15,422.3
2019-7-16,424.6
2019-7-17,424.7
2019-7-18,418.65
2019-7-19,410.3
2019-7-22,411.5
2019-7-23,411.95
2019-7-24,408.5
2019-7-25,409
2019-7-26,415.75
2019-7-29,429.35
2019-7-30,425.35
2019-7-31,424.6
2019-8-1,417.05
2019-8-2,410.6
2019-8-5,402.65
2019-8-6,410.25
2019-8-7,408.4
2019-8-8,414.4
2019-8-9,420.15
2019-8-13,410.25
2019-8-14,417.3
2019-8-16,418.95
2019-8-19,423.4
2019-8-20,416.9
2019-8-21,412.05
2019-8-22,399.1
2019-8-23,395.4
2019-8-26,411.65
2019-8-27,418.6
2019-8-28,412.95
2019-8-29,404.4
2019-8-30,409.65
2019-9-3,392.15
2019-9-4,397.5
2019-9-5,389
2019-9-6,391.35
2019-9-9,395.45
2019-9-11,394.6
2019-9-12,402.7
2019-9-13,413.4
2019-9-16,412.15
2019-9-17,400.65
2019-9-18,399.35
2019-9-19,386.6
2019-9-20,417.5
2019-9-23,446.3
2019-9-24,440.9
2019-9-25,434.2
2019-9-26,451.95
2019-9-27,449.2
2019-9-30,433.7
2019-10-1,424.6
2019-10-3,427.3
2019-10-4,413.9
2019-10-7,416.1
2019-10-9,436.7
2019-10-10,423.7
2019-10-11,428.55
2019-10-14,428.85
2019-10-15,431.85
2019-10-16,435.3
2019-10-17,440.6
2019-10-18,437.8
2019-10-22,451.15
2019-10-23,455.1
2019-10-24,454.75
2019-10-25,469.1
2019-10-27,469.55
2019-10-29,477.4
2019-10-30,471.15
2019-10-31,463.05
2019-11-1,462.25
2019-11-4,470.5
2019-11-5,468.35
2019-11-6,480.7
2019-11-7,478.55
2019-11-8,489.45
2019-11-11,496.8
2019-11-13,485.75
2019-11-14,498.65
2019-11-15,499.85
2019-11-18,498.35
