Date,Price
2018-11-19,1175.25
2018-11-20,1169.95
2018-11-21,1176.7
2018-11-22,1170.6
2018-11-26,1170.55
2018-11-27,1173.55
2018-11-28,1160.25
2018-11-29,1212.95
2018-11-30,1233.95
2018-12-3,1226.1
2018-12-4,1225.3
2018-12-5,1211.5
2018-12-6,1180.25
2018-12-7,1279.65
2018-12-10,1198.35
2018-12-11,1218.7
2018-12-12,1237.15
2018-12-13,1264.4
2018-12-14,1255.95
2018-12-17,1222.45
2018-12-18,1237.1
2018-12-19,1225.65
2018-12-20,1236.3
2018-12-21,1227.2
2018-12-24,1238.5
2018-12-26,1248.15
2018-12-27,1240.25
2018-12-28,1241.35
2018-12-31,1256.5
2019-1-1,1250.45
2019-1-2,1240.6
2019-1-3,1235.25
2019-1-4,1247.95
2019-1-7,1246.6
2019-1-8,1228.9
2019-1-9,1238.25
2019-1-10,1219.55
2019-1-11,1223.2
2019-1-14,1211.75
2019-1-15,1213.4
2019-1-16,1202.75
2019-1-17,1219.95
2019-1-18,1240.2
2019-1-21,1267.6
2019-1-22,1291.75
2019-1-23,1276.5
2019-1-24,1267.75
2019-1-25,1266.15
2019-1-28,1260.45
2019-1-29,1251.4
2019-1-30,1222.2
2019-1-31,1255.75
2019-2-1,1255.7
2019-2-4,1272.2
2019-2-5,1279.15
2019-2-6,1279.5
2019-2-7,1284.55
2019-2-8,1299.4
2019-2-11,1301.55
2019-2-12,1298.65
2019-2-13,1298.3
2019-2-14,1286.8
2019-2-15,1283.65
2019-2-18,1277.05
2019-2-19,1280.45
2019-2-20,1289.75
2019-2-21,1289.15
2019-2-22,1237.9
2019-2-25,1240.95
2019-2-26,1236.15
2019-2-27,1216.15
2019-2-28,1213.1
2019-3-1,1225.95
2019-3-5,1240.45
2019-3-6,1241.3
2019-3-7,1237.2
2019-3-8,1238.9
2019-3-11,1249.55
2019-3-12,1263.35
2019-3-13,1261.25
2019-3-14,1268.95
2019-3-15,1325.15
2019-3-18,1343.65
2019-3-19,1347.75
2019-3-20,1351.6
2019-3-22,1336.25
2019-3-25,1308.65
2019-3-26,1342.95
2019-3-27,1332.85
2019-3-28,1340.75
2019-3-29,1334.5
2019-4-1,1339.4
2019-4-2,1339.45
2019-4-3,1334.2
2019-4-4,1322.9
2019-4-5,1335.95
2019-4-8,1343.25
2019-4-9,1341.45
2019-4-10,1349.9
2019-4-11,1343.2
2019-4-12,1343.45
2019-4-15,1373.85
2019-4-16,1386.4
2019-4-18,1369.65
2019-4-22,1356.7
2019-4-23,1355.35
2019-4-24,1366.75
2019-4-25,1360.4
2019-4-26,1379.25
2019-4-30,1386.55
2019-5-2,1406.35
2019-5-3,1417.8
2019-5-6,1410.4
2019-5-7,1408.15
2019-5-8,1402.2
2019-5-9,1385.5
2019-5-10,1398.15
2019-5-13,1389.35
2019-5-14,1382.95
2019-5-15,1395.8
2019-5-16,1413.15
2019-5-17,1460
2019-5-20,1502.55
2019-5-21,1487.9
2019-5-22,1495.25
2019-5-23,1499.75
2019-5-24,1511.7
2019-5-27,1529.4
2019-5-28,1511
2019-5-29,1513.9
2019-5-30,1535.35
2019-5-31,1522.15
2019-6-3,1531.25
2019-6-4,1531.35
2019-6-6,1514.25
2019-6-7,1511.8
2019-6-10,1502.6
2019-6-11,1507.7
2019-6-12,1483.5
2019-6-13,1504
2019-6-14,1473.85
2019-6-17,1460.35
2019-6-18,1461.85
2019-6-19,1497.8
2019-6-20,1518.35
2019-6-21,1489.8
2019-6-24,1470.6
2019-6-25,1483.9
2019-6-26,1490.6
2019-6-27,1481.6
2019-6-28,1477.1
2019-7-1,1481.2
2019-7-2,1471.5
2019-7-3,1475
2019-7-4,1497.8
2019-7-5,1517.2
2019-7-8,1475.3
2019-7-9,1462.85
2019-7-10,1475.85
2019-7-11,1484.95
2019-7-12,1483.65
2019-7-15,1508.1
2019-7-16,1501.45
2019-7-17,1534.6
2019-7-18,1538.25
2019-7-19,1498.9
2019-7-22,1454.3
2019-7-23,1494
2019-7-24,1497.2
2019-7-25,1485.05
2019-7-26,1511.85
