Date,Price
2018-11-19,288.15
2018-11-20,283.45
2018-11-21,287.05
2018-11-22,282.7
2018-11-26,286.4
2018-11-27,289.4
2018-11-28,284.55
2018-11-29,286.4
2018-11-30,284.65
2018-12-3,286.8
2018-12-4,282.55
2018-12-5,280.15
2018-12-6,275.65
2018-12-7,275.4
2018-12-10,274.2
2018-12-11,281.25
2018-12-12,285.25
2018-12-13,289
2018-12-14,289.2
2018-12-17,289.5
2018-12-18,292.75
2018-12-19,300.7
2018-12-20,294.05
2018-12-21,291.9
2018-12-24,293.05
2018-12-26,294.15
2018-12-27,292.15
2018-12-28,294.8
2018-12-31,295.9
2019-1-1,299.6
2019-1-2,293.9
2019-1-3,291.1
2019-1-4,297.65
2019-1-7,296.3
2019-1-8,305.3
2019-1-9,305.3
2019-1-10,305.55
2019-1-11,302.75
2019-1-14,300.4
2019-1-15,301.65
2019-1-16,303.15
2019-1-17,297.4
2019-1-18,294.95
2019-1-21,292.45
2019-1-22,290.25
2019-1-23,286.65
2019-1-24,288.05
2019-1-25,285.4
2019-1-28,281.6
2019-1-29,280.6
2019-1-30,287.45
2019-1-31,293.65
2019-2-1,284.4
2019-2-4,283.95
2019-2-5,284.65
2019-2-6,289.05
2019-2-7,287.4
2019-2-8,286
2019-2-11,280.5
2019-2-12,275.4
2019-2-13,268.2
2019-2-14,267.1
2019-2-15,262.95
2019-2-18,259.95
2019-2-19,262.9
2019-2-20,267.7
2019-2-21,268
2019-2-22,270.95
2019-2-25,270.15
2019-2-26,266.35
2019-2-27,267.65
2019-2-28,269.05
2019-3-1,272.95
2019-3-5,276.45
2019-3-6,278.1
2019-3-7,281.75
2019-3-8,281.2
2019-3-11,287.35
2019-3-12,286.9
2019-3-13,293.15
2019-3-14,291.9
2019-3-15,298.4
2019-3-18,298.95
2019-3-19,303.05
2019-3-20,303.8
2019-3-22,298.05
2019-3-25,294
2019-3-26,303.5
2019-3-27,308.8
2019-3-28,319
2019-3-29,320.75
2019-4-1,322.75
2019-4-2,329
2019-4-3,320.5
2019-4-4,321.8
2019-4-5,317.05
2019-4-8,312.8
2019-4-9,314.75
2019-4-10,310.9
2019-4-11,314.9
2019-4-12,315.25
2019-4-15,315.6
2019-4-16,315.75
2019-4-18,310.8
2019-4-22,310.05
2019-4-23,305.25
2019-4-24,310.75
2019-4-25,306.2
2019-4-26,312.5
2019-4-30,309.95
2019-5-2,308.15
2019-5-3,310
2019-5-6,308.75
2019-5-7,305.45
2019-5-8,298.25
2019-5-9,299.3
2019-5-10,308.05
2019-5-13,306.9
2019-5-14,314.65
2019-5-15,312.1
2019-5-16,315.75
2019-5-17,319.25
2019-5-20,344.7
2019-5-21,337.55
2019-5-22,341.1
2019-5-23,342.2
2019-5-24,355.35
2019-5-27,361.7
2019-5-28,360.05
2019-5-29,348.65
2019-5-30,353.55
2019-5-31,352.5
2019-6-3,355.45
2019-6-4,352.4
2019-6-6,336.9
2019-6-7,342.05
2019-6-10,344.3
2019-6-11,347.1
2019-6-12,344
2019-6-13,346.5
2019-6-14,343.8
2019-6-17,337.85
2019-6-18,340.05
2019-6-19,338.85
2019-6-20,345.15
2019-6-21,349.4
2019-6-24,353.2
2019-6-25,356.55
2019-6-26,358.15
2019-6-27,362.15
2019-6-28,361.25
2019-7-1,361.55
2019-7-2,364.5
2019-7-3,366.15
2019-7-4,367.4
2019-7-5,370.65
2019-7-8,355.3
2019-7-9,359.5
2019-7-10,354.2
2019-7-11,363.2
2019-7-12,363.6
2019-7-15,360.05
2019-7-16,364.35
2019-7-17,372.4
2019-7-18,363.65
2019-7-19,356
2019-7-22,350.85
2019-7-23,342.2
2019-7-24,339.6
2019-7-25,341.3
2019-7-26,342.6
2019-7-29,343.8
2019-7-30,327.55
2019-7-31,332.2
2019-8-1,317.15
2019-8-2,308.45
2019-8-5,300.25
2019-8-6,301.4
2019-8-7,289.9
2019-8-8,294.35
2019-8-9,291.35
2019-8-13,283.35
2019-8-14,289.75
2019-8-16,290.9
2019-8-19,286.85
2019-8-20,283.7
2019-8-21,277.4
2019-8-22,268.55
2019-8-23,271.1
2019-8-26,280.2
2019-8-27,285.7
2019-8-28,284.9
2019-8-29,274.5
2019-8-30,273.85
2019-9-3,268.4
2019-9-4,275.1
2019-9-5,273.3
2019-9-6,273.95
2019-9-9,278
2019-9-11,285.25
2019-9-12,287.05
2019-9-13,291.7
2019-9-16,284.7
2019-9-17,273.95
2019-9-18,280.4
2019-9-19,274.05
2019-9-20,301.7
2019-9-23,313.75
2019-9-24,302.6
2019-9-25,280.25
2019-9-26,281.85
2019-9-27,281.2
2019-9-30,270.8
2019-10-1,255.95
2019-10-3,254.15
2019-10-4,249.95
2019-10-7,249.1
2019-10-9,260.95
2019-10-10,254.15
2019-10-11,254.55
2019-10-14,255.45
2019-10-15,258.45
2019-10-16,256.05
2019-10-17,265.45
2019-10-18,269.65
2019-10-22,270.5
2019-10-23,275.45
2019-10-24,262.5
2019-10-25,281.55
2019-10-27,281.8
2019-10-29,280.65
2019-10-30,289.9
2019-10-31,312.4
2019-11-1,313.55
2019-11-4,314.3
2019-11-5,319.2
2019-11-6,317.55
2019-11-7,318.15
2019-11-8,316
2019-11-11,318.25
2019-11-13,306.8
2019-11-14,306
2019-11-15,321.9
2019-11-18,325.1
